feature,anova_f,mutual_info,rf_importance,combined
Ch1_asymmetry,1313.352469098482,0.933062550602465,0.015422048335008876,0.19510241497723899
Ch1_phase_range,583.9264113103578,1.047102876275971,0.011073339806359756,0.19437094437688385
Ch2_asymmetry,1083.253135838022,1.0334910202027197,0.010102078419019367,0.18900737419323313
Ch2_wide3_25-40MHz,647.9776670351399,1.134724902812648,0.005553861031458698,0.18585638951845362
Ch1_band1_2-5MHz,3165.82426769533,1.0131120695191043,0.009596237970391136,0.1854781651540519
Ch2_rms,1919.8580213808907,1.1739515438661594,0.0035093882205180964,0.1844843342675333
Ch2_energy,1772.4755723570254,1.1740237640273725,0.0026101473089880953,0.18094969026012298
Ch1_tail_energy_ratio,10023.506398918062,1.0356923812423529,0.006100128577735387,0.1797505133680096
Ch2_dwt_approx_energy,1316.4290812375261,1.1152814647228229,0.0028806537734896985,0.1732331144014171
Ch2_decay_rate,2515.9693886554082,1.0386427691480309,0.005320123039028821,0.17233025401034907
Ch2_spectral_centroid_MHz,862.9463953984964,1.0400130195625024,0.0052187292391826234,0.17107010877736692
Ch2_band4_15-50MHz,642.6421314281243,1.0359115925790263,0.004033126213288339,0.16578870003632784
Ch1_crest_factor,12695.355142589286,0.9968508652150478,0.003182556621127755,0.16469121388183033
Ch2_spectral_spread_MHz,2200.3400037275655,0.9727808945559349,0.005137222149123189,0.1619397278323901
Ch2_spectral_flatness,4546.192476473748,0.922555186848637,0.006079407437606002,0.1598375308906908
Ch1_band2_5-10MHz,3193.3808753155745,0.9272465415559132,0.0028333923520478866,0.14718593415502346
Ch1_band0_0-2MHz,2005.3039940254926,0.8949820504193586,0.0039046578002657067,0.145881248703976
Ch2_band0_0-2MHz,659.9234417091488,0.9517674754775443,0.001946122514196837,0.14567576626119888
Ch2_spectral_entropy,3222.055287036151,0.9491271565950341,0.0014633212502382913,0.14509948565946817
Ch2_band1_2-5MHz,799.371660083065,0.9412325032120372,0.0015730586071498367,0.14281755801211485
Ch2_band2_5-10MHz,519.5710714398225,0.9111831711508556,0.002509571107649168,0.14190202478883934
Ch2_env_mean,2072.404032194181,0.8901259390418716,0.002748367175707772,0.14078938407237354
Ch2_wide2_15-25MHz,615.9810173695364,0.9101929331698875,0.0016665067605546005,0.13858747135833174
Ch1_band4_15-50MHz,2811.5308134549578,0.8745878901346753,0.0018302396654099433,0.1355072637621638
Ch1_wide2_15-25MHz,2842.4024848348467,0.8824586687166569,0.0014403484529311118,0.1351649498618181
Ch1_wide0_0-5MHz,-1111.065852572399,0.8939922196062917,0.0006331716036268168,0.13117383686884515
Ch1_spectral_spread_MHz,5712.992945353721,0.8275016267701982,0.00191742491023564,0.13093626623265567
Ch2_wide0_0-5MHz,518.632449892532,0.833906262462571,0.0009717250207606198,0.12487301356511098
amp_ratio_rms,735.6637665056477,0.7885749154208579,0.0025439444085507833,0.124516624439585
